Session,Rat,HiSO,LoSO,HiDO,LoDO
1,LTC17,0.418000000000006,0.454000000000065,0.433999999999742,0.42999999999995
2,LTC17,0.52599999999984,0.550999999999931,0.614000000000033,0.5300000000002
3,LTC17,0.406000000000006,0.41100000000003,0.427999999999997,0.488000000000284
4,LTC17,0.447999999999865,0.470000000000027,0.509999999999991,0.657999999999902
5,LTC17,0.420000000000073,0.4699999999998,0.372000000000298,0.47199999999998
1,LTC23,0.608000000000061,0.547000000000025,0.675999999999931,0.811999999999898
2,LTC23,0.614999999999952,0.494000000000142,0.534000000000106,0.597000000000037
3,LTC23,0.449999999999932,0.546000000000028,0.619000000000028,0.553999999999974
4,LTC23,0.720000000000027,0.884000000000043,0.892000000000053,0.966000000000008
5,LTC23,0.471000000000117,0.58400000000006,0.570000000000164,0.579999999999927
1,LTC13,0.582000000000107,0.567999999999984,0.692000000000007,0.673999999999978
2,LTC13,0.522999999999911,0.682999999999879,0.580999999999904,0.704000000000065
3,LTC13,0.548999999999978,0.589999999999691,0.601999999999862,0.668999999999983
4,LTC13,0.507999999999925,0.596000000000004,0.565999999999803,0.873000000000047
5,LTC13,0.488000000000284,0.52800000000002,0.562000000000012,0.642000000000053
1,LTC16,0.638000000000091,0.621999999999844,0.715999999999895,0.668000000000035
2,LTC16,0.689999999999998,0.809999999999945,0.813999999999851,1.06499999999988
3,LTC16,0.53100000000012,0.494000000000007,0.605999999999994,0.579999999999927
4,LTC16,0.655000000000022,0.687999999999988,0.711999999999989,0.837999999999965
5,LTC16,0.564999999999998,0.565999999999917,0.626999999999839,0.683999999999969
1,LTC15,0.64200000000028,0.61200000000008,0.669999999999988,0.786000000000058
2,LTC15,0.654999999999973,0.551999999999907,0.659999999999855,0.68799999999996
3,LTC15,0.501999999999953,0.494000000000142,0.561999999999898,0.570000000000164
4,LTC15,0.480999999999838,0.481999999999971,0.596000000000004,0.692000000000007
5,LTC15,0.589999999999918,0.543999999999983,0.627000000000066,0.703999999999979
1,21,0.467999999999847,0.55399999999986,0.513000000000034,0.552000000000021
2,21,0.385999999999967,0.507000000000062,0.429999999999893,0.5300000000002
3,21,0.60299999999998,0.691000000000031,0.634000000000015,0.769999999999982
4,21,0.395000000000095,0.478000000000009,0.474999999999966,0.605000000000132
5,21,0.350000000000023,0.433999999999969,0.365999999999985,0.501999999999953
1,33,0.434000000000196,0.561000000000036,0.542999999999893,0.711999999999989
2,33,0.409999999999855,0.472000000000094,0.474000000000046,0.657999999999902
3,33,0.410000000000082,0.478999999999928,0.434000000000196,0.545999999999822
4,33,0.451000000000022,0.539999999999964,0.504000000000019,0.767999999999944
5,33,0.383000000000038,0.451999999999913,0.412000000000035,0.563999999999965
1,25,0.55600000000004,0.553999999999974,0.738000000000284,1.18599999999969
2,25,0.44399999999996,0.487999999999914,0.539999999999964,0.716000000000008
3,25,0.52899999999994,0.614999999999952,0.588000000000193,0.743999999999915
4,25,0.54400000000004,0.630000000000109,0.684000000000196,0.55600000000004
5,25,0.451999999999998,0.562000000000012,0.5,0.590000000000032
1,26,0.454999999999927,0.625999999999976,0.657999999999902,1.02099999999996
2,26,0.438000000000102,0.489000000000033,0.52800000000002,0.670000000000016
3,26,0.480999999999881,0.559999999999945,0.503999999999905,0.679999999999836
4,26,0.47500000000008,0.606000000000222,0.564000000000021,0.907999999999902
5,26,0.410000000000082,0.480000000000018,0.510999999999967,0.587999999999965
1,27,0.47199999999998,0.55600000000004,0.52599999999984,0.613999999999919
2,27,0.473999999999933,0.559999999999945,0.529999999999973,0.731999999999971
3,27,0.586000000000013,0.639999999999873,0.583999999999916,0.645999999999987
4,27,0.532000000000153,0.611999999999966,0.549000000000092,0.693000000000211
5,27,0.524999999999977,0.632000000000062,0.625999999999976,0.645999999999958
1,28,0.47400000000016,0.530000000000086,0.494000000000142,0.600999999999885
2,28,0.427999999999997,0.5,0.450000000000046,0.613000000000064
3,28,0.394000000000005,0.470000000000027,0.403999999999996,0.565999999999803
4,28,0.408999999999878,0.497000000000071,0.423999999999978,0.435999999999694
5,28,0.392000000000166,0.488999999999976,0.454000000000008,0.602000000000004
1,29,0.451999999999998,0.552999999999912,0.613999999999976,0.867999999999938
2,29,0.492000000000004,0.654000000000053,0.484000000000066,0.644000000000005
3,29,0.467000000000098,0.528999999999996,0.454000000000001,0.650999999999897
4,29,0.510000000000048,0.593000000000075,0.513000000000062,0.552999999999997
5,29,0.497999999999934,0.539999999999964,0.420000000000073,0.593999999999994
1,30,0.507999999999981,0.601999999999975,0.572000000000116,0.720000000000027
2,30,0.526000000000124,0.620000000000118,0.56699999999995,0.595000000000027
3,30,0.470000000000027,0.538999999999987,0.519999999999982,0.51400000000001
4,30,0.517000000000003,0.589999999999918,0.555000000000021,0.673999999999978
5,30,0.504000000000019,0.608000000000004,0.539000000000158,0.786000000000058
1,31,0.436000000000149,0.452999999999861,0.500999999999976,0.717999999999847
2,31,0.417999999999665,0.423999999999978,0.440000000000055,0.424000000000035
3,31,0.364000000000033,0.467999999999961,0.412000000000148,0.474999999999909
4,31,0.405999999999949,0.426000000000045,0.458999999999946,0.460000000000019
5,31,0.415999999999713,0.440000000000055,0.403999999999996,0.533999999999992
1,32,0.402000000000044,0.551999999999964,0.739999999999952,1.11200000000008
2,32,0.432000000000016,0.522000000000048,0.552000000000021,0.802999999999997
3,32,0.411000000000001,0.542999999999978,0.496000000000095,0.74799999999999
4,32,0.417999999999971,0.516000000000076,0.47199999999998,0.807999999999765
5,32,0.432999999999993,0.506000000000313,0.47199999999998,0.58400000000006
