Session,Rat,Drift Rate,Threshold,NDT
1,LTC17,0.184636983621138,0.634385658740805,0.225545266503447
2,LTC17,0.268418488955493,0.755039398901879,0.235073592513088
3,LTC17,0.216826130016033,0.576787480660271,0.240861878753612
4,LTC17,0.292636197470078,0.734152352684675,0.219116892176818
5,LTC17,0.220123482009484,0.538740851167995,0.226094685922946
1,LTC23,0.146666071532447,0.85527728194768,0.191903643580779
2,LTC23,0.12719103947653,0.741298935741734,0.182514050087168
3,LTC23,0.144722213186173,0.721000000125918,0.233825136559233
4,LTC23,0.138279775128851,0.985727655893076,0.154647309016918
5,LTC23,0.190266133574822,0.796000005986451,0.184603862842681
1,LTC13,0.171351793372686,0.714228534838647,0.349688241977016
2,LTC13,0.242833649417969,0.672000000072804,0.366763197300143
3,LTC13,0.229285457799044,0.675908916861487,0.319746540080516
4,LTC13,0.247411344873065,0.727168621661386,0.323338042715099
5,LTC13,0.289724363061488,0.644276417732672,0.311868672157127
1,LTC16,0.157832437387292,0.792642420785278,0.280769590683999
2,LTC16,0.17300588307886,0.924000000801363,0.251194087743252
3,LTC16,0.21685059611684,0.713617823630093,0.254731443842785
4,LTC16,0.179336322488705,0.836000000874616,0.251345706202086
5,LTC16,0.150405080650355,0.798151300651494,0.226446073083975
1,LTC15,0.219634608484062,0.812000002386545,0.260133601901212
2,LTC15,0.232145363464264,0.755650673035822,0.288888518021304
3,LTC15,0.180806600646943,0.731000001244852,0.233970285668576
4,LTC15,0.223135555334999,0.781679352581457,0.24357710008564
5,LTC15,0.241557962955474,0.870469291806612,0.199043293908311
1,21,0.336092779223789,0.616272236664547,0.318137859023704
2,21,0.413495947490132,0.572003016747953,0.25648611567229
3,21,0.259997586858729,0.849081429229578,0.228693653177783
4,21,0.461372888380572,0.648000000448832,0.252833156842206
5,21,0.293145460754191,0.497121404790229,0.249844799850455
1,33,0.364716257468379,0.766421971463833,0.255320766118935
2,33,0.471853023585435,0.747267501466341,0.230884032793233
3,33,0.423695959583712,0.578625569810426,0.265393631328154
4,33,0.444509279756541,0.727351645928389,0.269490633071509
5,33,0.538561981656482,0.655260950374207,0.240962544370839
1,25,0.16573626907615,0.891112426090748,0.219770607136061
2,25,0.30199348846901,0.679000003632358,0.281421433659319
3,25,0.309159740328113,0.850571115596477,0.193439200780104
4,25,0.291798298369136,0.838321477862269,0.215595564794558
5,25,0.226666303140158,0.587148855401398,0.281407505233611
1,26,0.271779121614335,0.879299511425725,0.244928832452277
2,26,0.307956564137178,0.763506016066669,0.232188516402304
3,26,0.467584497866289,0.727923751004659,0.282253410868859
4,26,0.321753386304755,0.773617490054549,0.257322179134511
5,26,0.314105924906185,0.665140201027649,0.26375022149548
1,27,0.37520085236525,0.678216443565859,0.30221777956566
2,27,0.356590045300639,0.609108513921853,0.347791507950469
3,27,0.304967793396903,0.67058498085334,0.334633653147605
4,27,0.327487023212797,0.627682191555943,0.333106656936552
5,27,0.368803604655207,0.674502463525914,0.336412715748443
1,28,0.301832488109529,0.680684818854244,0.243408541744948
2,28,0.407280154958453,0.624253482146998,0.25917971374571
3,28,0.267948067970097,0.568469041667692,0.251678443031762
4,28,0.366060933943025,0.62841835286072,0.208942042420991
5,28,0.326135891550009,0.689384490396124,0.224047610399918
1,29,0.264289592838498,0.774240867611039,0.247980261140185
2,29,0.32444661806211,0.718537753405518,0.22967050357166
3,29,0.316738803430482,0.639342928033919,0.248814307417607
4,29,0.235102656243964,0.679052376036776,0.211922713053488
5,29,0.25627085871745,0.612932844452176,0.244310138979995
1,30,0.253617735482738,0.757141647387137,0.26884633461984
2,30,0.212875547786114,0.702445943581732,0.300416670404203
3,30,0.110338723448931,0.619647415575318,0.258163438262663
4,30,0.256607789126637,0.709119412819055,0.290055844168684
5,30,0.264189351821169,0.700038883959565,0.277764921538443
1,31,0.226486981933428,0.718958494911598,0.208466270594835
2,31,0.24614479229631,0.575157382280915,0.236391556743167
3,31,0.371041281694531,0.594000000523165,0.231607954149552
4,31,0.234845360234633,0.614440448915297,0.218024148574266
5,31,0.277497394753436,0.675563383674238,0.209119299221595
1,32,0.275190918910315,0.902377654495596,0.200116383289901
2,32,0.288599850344083,0.773936100844856,0.231485738871003
3,32,0.327909063934683,0.746319556617845,0.219472970443422
4,32,0.323568536473399,0.816000075465527,0.193513898849321
5,32,0.341250530415546,0.649423524162544,0.258302430951727
